Tweet_count,Username,Text,Created At,Retweets,Likes
1,HEMANG 🎮⚽🏑🍕,"@GoogleIndia @Flipkart @cromaretail @RelianceDigital Pathetic..
@Flipkart is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A  How can this be my problem? Listen full conversation.. Help with sharing as much as possible. #Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/VZF5aOBhAP",Sun Aug 25 11:46:19 +0000 2024,0,0
2,HEMANG 🎮⚽🏑🍕,"@kkumarchaurasia @Flipkart @Moto @flipkartsupport Pathetic..
@Flipkart is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A  How can this be my problem? Listen full conversation.. Help with sharing as much as possible. #Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/awMLnYxBIL",Sun Aug 25 11:45:15 +0000 2024,0,0
3,HEMANG 🎮⚽🏑🍕,"@aHeirToTheDemon @abhishek @flipkartsupport @Flipkart Pathetic..
@Flipkart is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A  How can this be my problem? Listen full conversation.. Help with sharing as much as possible. #Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/fZPFGXtD3x",Sun Aug 25 11:44:10 +0000 2024,0,0
4,HEMANG 🎮⚽🏑🍕,"@GoogleIndia Pathetic..
@Flipkart is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A  How can this be my problem? Listen full conversation.. Help with sharing as much as possible. #Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/1KP3OqxRxg",Sun Aug 25 11:41:16 +0000 2024,0,0
5,HEMANG 🎮⚽🏑🍕,"@mostly_rude_ @flipkartsupport @Flipkart Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A How can this be my problem?
Listen full conversation..
Help with sharing as much as possible.
#Flipkart #India #Pixel #google
@jagograhakjago https://t.co/CeIKSzlDLq",Sun Aug 25 11:39:48 +0000 2024,0,0
6,HEMANG 🎮⚽🏑🍕,"Pathetic..
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A How can this be my problem?
Listen full conversation.
Help with sharing as much as possible.
#Flipkart #India #Pixel #google @TOIIndiaNews @ThePuneMirror https://t.co/5KKxFuejES",Sun Aug 25 11:37:53 +0000 2024,0,0
7,HEMANG 🎮⚽🏑🍕,"@amaan7756 @Flipkart @flipkartsupport Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6AHow can this be my problem?
Listen full conversation..
Help with sharing as much as possible.
#Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/miclntA8LN",Sun Aug 25 11:35:49 +0000 2024,0,0
8,HEMANG 🎮⚽🏑🍕,"@sanket9519 @Flipkartminutes @Flipkart Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6AHow can this be my problem?
Listen full conversation..
Help with sharing as much as possible.
#Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/yxRgRpErUX",Sun Aug 25 11:34:03 +0000 2024,0,0
9,HEMANG 🎮⚽🏑🍕,"@HukamSingh33173 @Flipkart @flipkartsupport @FlipkartStories @FlipkartEnables @FlipkartSellers @flipkart_tech @FlipkartAds @FlipkartHealth @WorkAtFlipkart Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6AHow can this be my problem?
Listen full conversation..
Help with sharing as much as possible.
#Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/mTLIJ4XgEr",Sun Aug 25 11:32:28 +0000 2024,0,0
10,HEMANG 🎮⚽🏑🍕,"@rockykrish3366 Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6AHow can this be my problem?
Listen full conversation..
Help with sharing as much as possible.
#Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/DgrvxaRS0U",Sun Aug 25 11:31:28 +0000 2024,0,0
